"address"
"Дніпро, Запорізьке шосе, 62-К"
"Київ, вул. Кришталева, 6"
"Одеса, пр-т Небесної Сотні, 99"
"Покровськ, вул. Захисників України, 1"
"Київ, пр-т Петра Григоренка, 40"
"Харків, пр-т Аерокосмічний, 430"
"Коломия, вул. Карпатська, 144"
"Вінниця, с. Зарванці, Хмельницьке шосе, 1-А"
"Харків, смт Пісочин, вул. Полтавське шосе, 2"
"Дрогобич, вул. Пилипа Орлика, 1"
"Миколаїв, пр-т Богоявленський, 234-Б"
"Біла Церква, вул. Леваневського, 83"
"Олександрія, вул. Героїв Сталінграда, 14"
"Харків, вул. Героїв Праці, 9-А"
"Запоріжжя, вул. Запорізька, 1-В"
"Тернопіль, вул. Поліська, 7"
"Житомир, с. Глибочиця, Київське шосе, 4-У"
"Київ, пр-т Степана Бандери, 11-А"
"Вінниця, вул. Батозька, 1-В"
"Запоріжжя, Оріхівське шосе, 27"
"Полтава, Київське шосе, 41"
"Мукачево, вул. Лавківська, 1-Д"
"Львів, вул. Богдана Хмельницького, 188-А"
"Калуш, вул. Ринкова, 4"
"Кропивницький, вул. Незалежності, 8"
"Кременчук, вул. Київська, 66"
"Одеса, с. Лиманка, пр-т Небесної Сотні, 99-А"
"Київ, вул. Братиславська, 11"
"Хмельницький, вул. Зарічанська, 11/4"
"Київ, вул. Берковецька, 6-В"
"Ужгород, вул. Баб'яка, 7/1"
"Бориспіль, вул. Горбатюка, 2"
"Рівне, вул. Кулика і Гудачека, 17"
"Бровари, вул. Київська, 253"
"Стрий, вул. Олега Ольжича, 18"
"Краматорськ, вул. Марії Приймаченко, 14"
"Одеса, Овідіопольська дорога, 1"
"Чернігів, вул. Київська, 131"
"Кам'янське, пр-т Аношкіна, 11"
"Київ, Кільцева дорога, 1-Б"
"Черкаси, вул. 30 років Перемоги, 29"
"Івано-Франківськ, вул. В. Івасюка, 17"
"Київ, вул. Полярна, 20-Д"
"Кривий Ріг, вул. Бикова, 33"
"Шепетівка, вул. Старокостянтинівське шосе, 31"
"Суми, вул. Героїв Крут, 1/3"
"Умань, вул. Київська, 27"
"Миколаїв, Херсонське шосе, 1"
"Львів, с. Сокільники, вул. Стрийська, 30"
"Чернівці, вул. Хотинська, 10-А"
"Лубни, пр-т Володимирський, 180"
"Дніпро, смт Слобожанське, вул. Бабенка, 25"
"Львів, вул. Городоцька, 302"
"Луцьк, с. Липини, вул. Окружна, 10"
"Ірпінь, вул. Центральна, 12"
"Старокостянтинів, вул. Попова, 18"
"Чернігів, с. Новоселівка, вул. Шевченка, 57"
# рядок нижче навмисно невалідний - на ньому видно, що @NotBlank у ShopDto справді працює
"   "
